,Year,Category,Prize,Motivation,Prize_Share,Laureate_ID,Laureate_Type,Full_Name,Birth_Date,Birth_City,Birth_Country,Sex,Organization_Name,Organization_City,Organization_Country,Death_Date,Death_City,Death_Country
27,1905,Literature,The_Nobel_Prize_in_Literature_1905,"""because_of_his_outstanding_merits_as_an_epic_writer""",1-Jan,575,Individual,Henryk_Sienkiewicz,1846-05-05,Wola_Okrzejska,Poland,Male,,,,11/15/1916,Vevey,Switzerland
28,1905,Medicine,The_Nobel_Prize_in_Physiology_or_Medicine_1905,"""for_his_investigations_and_discoveries_in_relation_to_tuberculosis""",1-Jan,297,Individual,Robert_Koch,1843-12-11,Clausthal_(Clausthal-Zellerfeld),Germany,Male,Institute_for_Infectious_Diseases,Berlin,Germany,5/27/1910,Baden-Baden,Germany
29,1905,Peace,The_Nobel_Peace_Prize_1905,,1-Jan,468,Individual,"Baroness_Bertha_Sophie_Felicita_von_Suttner,_née_Countess_Kinsky_von_Chinic_und_Tettau",1843-06-09,Prague,Austrian_Empire_(Czech_Republic),Female,,,,6/21/1914,Vienna,Austria
30,1905,Physics,The_Nobel_Prize_in_Physics_1905,"""for_his_work_on_cathode_rays""",1-Jan,9,Individual,Philipp_Eduard_Anton_von_Lenard,1862-06-07,Pressburg_(Bratislava),Hungary_(Slovakia),Male,Kiel_University,Kiel,Germany,5/20/1947,Messelhausen,Germany
31,1906,Chemistry,The_Nobel_Prize_in_Chemistry_1906,"""in_recognition_of_the_great_services_rendered_by_him_in_his_investigation_and_isolation_of_the_element_fluorine,_and_for_the_adoption_in_the_service_of_science_of_the_electric_furnace_called_after_him""",1-Jan,165,Individual,Henri_Moissan,1852-09-28,Paris,France,Male,Sorbonne_University,Paris,France,2/20/1907,Paris,France
32,1906,Literature,The_Nobel_Prize_in_Literature_1906,"""not_only_in_consideration_of_his_deep_learning_and_critical_research,_but_above_all_as_a_tribute_to_the_creative_energy,_freshness_of_style,_and_lyrical_force_which_characterize_his_poetic_masterpieces""",1-Jan,576,Individual,Giosuè_Carducci,1835-07-27,Val_di_Castello,Tuscany_(Italy),Male,,,,2/16/1907,Bologna,Italy
33,1906,Medicine,The_Nobel_Prize_in_Physiology_or_Medicine_1906,"""in_recognition_of_their_work_on_the_structure_of_the_nervous_system""",2-Jan,298,Individual,Camillo_Golgi,1843-07-07,Corteno,Italy,Male,Pavia_University,Pavia,Italy,1/21/1926,Pavia,Italy
34,1906,Medicine,The_Nobel_Prize_in_Physiology_or_Medicine_1906,"""in_recognition_of_their_work_on_the_structure_of_the_nervous_system""",2-Jan,299,Individual,Santiago_Ramón_y_Cajal,1852-05-01,Petilla_de_Aragó,Spain,Male,Madrid_University,Madrid,Spain,10/17/1934,Madrid,Spain
35,1906,Peace,The_Nobel_Peace_Prize_1906,,1-Jan,470,Individual,Theodore_Roosevelt,1858-10-27,"New_York,_NY",United_States_of_America,Male,,,,1/6/1919,"Oyster_Bay,_NY",United_States_of_America
36,1906,Physics,The_Nobel_Prize_in_Physics_1906,"""in_recognition_of_the_great_merits_of_his_theoretical_and_experimental_investigations_on_the_conduction_of_electricity_by_gases""",1-Jan,10,Individual,Joseph_John_Thomson,1856-12-18,"Cheetham_Hill,_near_Manchester",United_Kingdom,Male,University_of_Cambridge,Cambridge,United_Kingdom,8/30/1940,Cambridge,United_Kingdom
37,1907,Chemistry,The_Nobel_Prize_in_Chemistry_1907,"""for_his_biochemical_researches_and_his_discovery_of_cell-free_fermentation""",1-Jan,166,Individual,Eduard_Buchner,1860-05-20,Munich,Bavaria_(Germany),Male,Landwirtschaftliche_Hochschule_(Agricultural_College),Berlin,Germany,8/13/1917,Focsani,Romania
38,1907,Literature,The_Nobel_Prize_in_Literature_1907,"""in_consideration_of_the_power_of_observation,_originality_of_imagination,_virility_of_ideas_and_remarkable_talent_for_narration_which_characterize_the_creations_of_this_world-famous_author""",1-Jan,577,Individual,Rudyard_Kipling,1865-12-30,Bombay,British_India_(India),Male,,,,1/18/1936,London,United_Kingdom
39,1907,Medicine,The_Nobel_Prize_in_Physiology_or_Medicine_1907,"""in_recognition_of_his_work_on_the_role_played_by_protozoa_in_causing_diseases""",1-Jan,300,Individual,Charles_Louis_Alphonse_Laveran,1845-06-18,Paris,France,Male,Institut_Pasteur,Paris,France,5/18/1922,Paris,France
40,1907,Peace,The_Nobel_Peace_Prize_1907,,2-Jan,471,Individual,Ernesto_Teodoro_Moneta,1833-09-20,Milan,Austrian_Empire_(Italy),Male,,,,2/10/1918,Milan,Italy
41,1907,Peace,The_Nobel_Peace_Prize_1907,,2-Jan,472,Individual,Louis_Renault,1843-05-21,Autun,France,Male,Sorbonne_University,Paris,France,2/8/1918,Barbizon,France
42,1907,Physics,The_Nobel_Prize_in_Physics_1907,"""for_his_optical_precision_instruments_and_the_spectroscopic_and_metrological_investigations_carried_out_with_their_aid""",1-Jan,11,Individual,Albert_Abraham_Michelson,1852-12-19,Strelno_(Strzelno),Prussia_(Poland),Male,University_of_Chicago,"Chicago,_IL",United_States_of_America,5/9/1931,"Pasadena,_CA",United_States_of_America
43,1908,Chemistry,The_Nobel_Prize_in_Chemistry_1908,"""for_his_investigations_into_the_disintegration_of_the_elements,_and_the_chemistry_of_radioactive_substances""",1-Jan,167,Individual,Ernest_Rutherford,1871-08-30,Nelson,New_Zealand,Male,Victoria_University,Manchester,United_Kingdom,10/19/1937,Cambridge,United_Kingdom
44,1908,Literature,The_Nobel_Prize_in_Literature_1908,"""in_recognition_of_his_earnest_search_for_truth,_his_penetrating_power_of_thought,_his_wide_range_of_vision,_and_the_warmth_and_strength_in_presentation_with_which_in_his_numerous_works_he_has_vindicated_and_developed_an_idealistic_philosophy_of_life""",1-Jan,578,Individual,Rudolf_Christoph_Eucken,1846-01-05,Aurich,East_Friesland_(Germany),Male,,,,9/14/1926,Jena,Germany
45,1908,Medicine,The_Nobel_Prize_in_Physiology_or_Medicine_1908,"""in_recognition_of_their_work_on_immunity""",2-Jan,301,Individual,Ilya_Ilyich_Mechnikov,1845-05-15,Kharkov_(Kharkiv),Russian_Empire_(Ukraine),Male,Institut_Pasteur,Paris,France,7/15/1916,Paris,France
46,1908,Medicine,The_Nobel_Prize_in_Physiology_or_Medicine_1908,"""in_recognition_of_their_work_on_immunity""",2-Jan,302,Individual,Paul_Ehrlich,1854-03-14,Strehlen_(Strzelin),Prussia_(Poland),Male,Goettingen_University,Göttingen,Germany,8/20/1915,Bad_Homburg_vor_der_Höhe,Germany
47,1908,Medicine,The_Nobel_Prize_in_Physiology_or_Medicine_1908,"""in_recognition_of_their_work_on_immunity""",2-Jan,302,Individual,Paul_Ehrlich,1854-03-14,Strehlen_(Strzelin),Prussia_(Poland),Male,Königliches_Institut_für_experimentelle_Therapie_(Royal_Institute_for_Experimental_Therapy),Frankfurt-on-the-Main,Germany,8/20/1915,Bad_Homburg_vor_der_Höhe,Germany
48,1908,Peace,The_Nobel_Peace_Prize_1908,,2-Jan,473,Individual,Klas_Pontus_Arnoldson,1844-10-27,Gothenburg,Sweden,Male,,,,2/20/1916,Stockholm,Sweden
49,1908,Peace,The_Nobel_Peace_Prize_1908,,2-Jan,474,Individual,Fredrik_Bajer,1837-04-21,Næstved,Denmark,Male,,,,1/22/1922,Copenhagen,Denmark
50,1908,Physics,The_Nobel_Prize_in_Physics_1908,"""for_his_method_of_reproducing_colours_photographically_based_on_the_phenomenon_of_interference""",1-Jan,12,Individual,Gabriel_Lippmann,1845-08-16,Hollerich,Luxembourg,Male,Sorbonne_University,Paris,France,7/13/1921,,
51,1909,Chemistry,The_Nobel_Prize_in_Chemistry_1909,"""in_recognition_of_his_work_on_catalysis_and_for_his_investigations_into_the_fundamental_principles_governing_chemical_equilibria_and_rates_of_reaction""",1-Jan,168,Individual,Wilhelm_Ostwald,1853-09-02,Riga,Russian_Empire_(Latvia),Male,Leipzig_University,Leipzig,Germany,4/4/1932,Leipzig,Germany
52,1909,Literature,The_Nobel_Prize_in_Literature_1909,"""in_appreciation_of_the_lofty_idealism,_vivid_imagination_and_spiritual_perception_that_characterize_her_writings""",1-Jan,579,Individual,Selma_Ottilia_Lovisa_Lagerlöf,1858-11-20,Mårbacka,Sweden,Female,,,,3/16/1940,Mårbacka,Sweden
53,1909,Medicine,The_Nobel_Prize_in_Physiology_or_Medicine_1909,"""for_his_work_on_the_physiology,_pathology_and_surgery_of_the_thyroid_gland""",1-Jan,303,Individual,Emil_Theodor_Kocher,1841-08-25,Berne,Switzerland,Male,Berne_University,Berne,Switzerland,7/27/1917,Berne,Switzerland
54,1909,Peace,The_Nobel_Peace_Prize_1909,,2-Jan,475,Individual,Auguste_Marie_François_Beernaert,1829-07-26,Ostend,Belgium,Male,,,,10/6/1912,Lucerne,Switzerland
55,1909,Peace,The_Nobel_Peace_Prize_1909,,2-Jan,476,Individual,"Paul_Henri_Benjamin_Balluet_d'Estournelles_de_Constant,_Baron_de_Constant_de_Rebecque",1852-11-22,La_Flèche,France,Male,,,,5/15/1924,Paris,France
56,1909,Physics,The_Nobel_Prize_in_Physics_1909,"""in_recognition_of_their_contributions_to_the_development_of_wireless_telegraphy""",2-Jan,13,Individual,Guglielmo_Marconi,1874-04-25,Bologna,Italy,Male,Marconi_Wireless_Telegraph_Co._Ltd.,London,United_Kingdom,7/20/1937,Rome,Italy
57,1909,Physics,The_Nobel_Prize_in_Physics_1909,"""in_recognition_of_their_contributions_to_the_development_of_wireless_telegraphy""",2-Jan,14,Individual,Karl_Ferdinand_Braun,1850-06-06,Fulda,Hesse-Kassel_(Germany),Male,Strasbourg_University,Strasbourg,"Alsace_(then_Germany,_now_France)",4/20/1918,"Brooklyn,_NY",United_States_of_America
58,1910,Chemistry,The_Nobel_Prize_in_Chemistry_1910,"""in_recognition_of_his_services_to_organic_chemistry_and_the_chemical_industry_by_his_pioneer_work_in_the_field_of_alicyclic_compounds""",1-Jan,169,Individual,Otto_Wallach,1847-03-27,Koenigsberg_(Kaliningrad),Germany_(Russia),Male,Goettingen_University,Göttingen,Germany,2/26/1931,Göttingen,Germany
59,1910,Literature,The_Nobel_Prize_in_Literature_1910,"""as_a_tribute_to_the_consummate_artistry,_permeated_with_idealism,_which_he_has_demonstrated_during_his_long_productive_career_as_a_lyric_poet,_dramatist,_novelist_and_writer_of_world-renowned_short_stories""",1-Jan,580,Individual,Paul_Johann_Ludwig_Heyse,1830-03-15,Berlin,Prussia_(Germany),Male,,,,4/2/1914,Munich,Germany
60,1910,Medicine,The_Nobel_Prize_in_Physiology_or_Medicine_1910,"""in_recognition_of_the_contributions_to_our_knowledge_of_cell_chemistry_made_through_his_work_on_proteins,_including_the_nucleic_substances""",1-Jan,304,Individual,Albrecht_Kossel,1853-09-16,Rostock,Mecklenburg_(Germany),Male,University_of_Heidelberg,Heidelberg,Germany,7/5/1927,Heidelberg,Germany
61,1910,Peace,The_Nobel_Peace_Prize_1910,,1-Jan,477,Organization,Bureau_international_permanent_de_la_Paix_(Permanent_International_Peace_Bureau),,,,,,,,,,
62,1910,Physics,The_Nobel_Prize_in_Physics_1910,"""for_his_work_on_the_equation_of_state_for_gases_and_liquids""",1-Jan,15,Individual,Johannes_Diderik_van_der_Waals,1837-11-23,Leiden,Netherlands,Male,Amsterdam_University,Amsterdam,Netherlands,3/8/1923,Amsterdam,Netherlands
63,1911,Chemistry,The_Nobel_Prize_in_Chemistry_1911,"""in_recognition_of_her_services_to_the_advancement_of_chemistry_by_the_discovery_of_the_elements_radium_and_polonium,_by_the_isolation_of_radium_and_the_study_of_the_nature_and_compounds_of_this_remarkable_element""",1-Jan,6,Individual,"Marie_Curie,_née_Sklodowska",1867-11-07,Warsaw,Russian_Empire_(Poland),Female,Sorbonne_University,Paris,France,7/4/1934,Sallanches,France
64,1911,Literature,The_Nobel_Prize_in_Literature_1911,"""in_appreciation_of_his_many-sided_literary_activities,_and_especially_of_his_dramatic_works,_which_are_distinguished_by_a_wealth_of_imagination_and_by_a_poetic_fancy,_which_reveals,_sometimes_in_the_guise_of_a_fairy_tale,_a_deep_inspiration,_while_in_a_mysterious_way_they_appeal_to_the_readers'_own_feelings_and_stimulate_their_imaginations""",1-Jan,581,Individual,Count_Maurice_(Mooris)_Polidore_Marie_Bernhard_Maeterlinck,1862-08-29,Ghent,Belgium,Male,,,,5/6/1949,Nice,France
65,1911,Medicine,The_Nobel_Prize_in_Physiology_or_Medicine_1911,"""for_his_work_on_the_dioptrics_of_the_eye""",1-Jan,305,Individual,Allvar_Gullstrand,1862-06-05,Landskrona,Sweden,Male,Uppsala_University,Uppsala,Sweden,7/28/1930,Stockholm,Sweden
66,1911,Peace,The_Nobel_Peace_Prize_1911,,2-Jan,478,Individual,Tobias_Michael_Carel_Asser,1838-04-28,Amsterdam,Netherlands,Male,,,,7/29/1913,the_Hague,Netherlands
67,1911,Peace,The_Nobel_Peace_Prize_1911,,2-Jan,479,Individual,Alfred_Hermann_Fried,1864-11-11,Vienna,Austria,Male,,,,5/5/1921,Vienna,Austria
68,1911,Physics,The_Nobel_Prize_in_Physics_1911,"""for_his_discoveries_regarding_the_laws_governing_the_radiation_of_heat""",1-Jan,16,Individual,Wilhelm_Wien,1864-01-13,Gaffken_(Parusnoye),Prussia_(Russia),Male,Würzburg_University,Würzburg,Germany,8/30/1928,Munich,Germany
69,1912,Chemistry,The_Nobel_Prize_in_Chemistry_1912,"""for_the_discovery_of_the_so-called_Grignard_reagent,_which_in_recent_years_has_greatly_advanced_the_progress_of_organic_chemistry""",2-Jan,172,Individual,Victor_Grignard,1871-05-06,Cherbourg,France,Male,Nancy_University,Nancy,France,12/13/1935,Lyon,France
70,1912,Chemistry,The_Nobel_Prize_in_Chemistry_1912,"""for_his_method_of_hydrogenating_organic_compounds_in_the_presence_of_finely_disintegrated_metals_whereby_the_progress_of_organic_chemistry_has_been_greatly_advanced_in_recent_years""",2-Jan,173,Individual,Paul_Sabatier,1854-11-05,Carcassonne,France,Male,Toulouse_University,Toulouse,France,8/14/1941,Toulouse,France
71,1912,Literature,The_Nobel_Prize_in_Literature_1912,"""primarily_in_recognition_of_his_fruitful,_varied_and_outstanding_production_in_the_realm_of_dramatic_art""",1-Jan,582,Individual,Gerhart_Johann_Robert_Hauptmann,1862-11-15,Bad_Salzbrunn,Prussia_(Germany),Male,,,,6/6/1946,Agnetendorf_(Jagniatków),Germany_(Poland)
72,1912,Medicine,The_Nobel_Prize_in_Physiology_or_Medicine_1912,"""in_recognition_of_his_work_on_vascular_suture_and_the_transplantation_of_blood_vessels_and_organs""",1-Jan,306,Individual,Alexis_Carrel,1873-06-28,Sainte-Foy-lès-Lyon,France,Male,Rockefeller_Institute_for_Medical_Research,"New_York,_NY",United_States_of_America,11/5/1944,Paris,France
73,1912,Peace,The_Nobel_Peace_Prize_1912,,1-Jan,480,Individual,Elihu_Root,1845-02-15,"Clinton,_NY",United_States_of_America,Male,,,,2/7/1937,"New_York,_NY",United_States_of_America
74,1912,Physics,The_Nobel_Prize_in_Physics_1912,"""for_his_invention_of_automatic_regulators_for_use_in_conjunction_with_gas_accumulators_for_illuminating_lighthouses_and_buoys""",1-Jan,17,Individual,Nils_Gustaf_Dalén,1869-11-30,Stenstorp,Sweden,Male,Swedish_Gas-Accumulator_Co.,Lidingö-Stockholm,Sweden,12/9/1937,Stockholm,Sweden
75,1913,Chemistry,The_Nobel_Prize_in_Chemistry_1913,"""in_recognition_of_his_work_on_the_linkage_of_atoms_in_molecules_by_which_he_has_thrown_new_light_on_earlier_investigations_and_opened_up_new_fields_of_research_especially_in_inorganic_chemistry""",1-Jan,174,Individual,Alfred_Werner,1866-12-12,Mulhouse,France,Male,University_of_Zurich,Zurich,Switzerland,11/15/1919,Zurich,Switzerland
76,1913,Literature,The_Nobel_Prize_in_Literature_1913,"""because_of_his_profoundly_sensitive,_fresh_and_beautiful_verse,_by_which,_with_consummate_skill,_he_has_made_his_poetic_thought,_expressed_in_his_own_English_words,_a_part_of_the_literature_of_the_West""",1-Jan,583,Individual,Rabindranath_Tagore,1861-05-07,Calcutta,India,Male,,,,8/7/1941,Calcutta,India
77,1913,Medicine,The_Nobel_Prize_in_Physiology_or_Medicine_1913,"""in_recognition_of_his_work_on_anaphylaxis""",1-Jan,307,Individual,Charles_Robert_Richet,1850-08-26,Paris,France,Male,Sorbonne_University,Paris,France,12/4/1935,Paris,France
78,1913,Peace,The_Nobel_Peace_Prize_1913,,1-Jan,481,Individual,Henri_La_Fontaine,1854-04-22,Brussels,Belgium,Male,,,,5/14/1943,Brussels,Belgium
79,1913,Physics,The_Nobel_Prize_in_Physics_1913,"""for_his_investigations_on_the_properties_of_matter_at_low_temperatures_which_led,_inter_alia,_to_the_production_of_liquid_helium""",1-Jan,18,Individual,Heike_Kamerlingh_Onnes,1853-09-21,Groningen,Netherlands,Male,Leiden_University,Leiden,Netherlands,2/21/1926,Leiden,Netherlands
80,1914,Chemistry,The_Nobel_Prize_in_Chemistry_1914,"""in_recognition_of_his_accurate_determinations_of_the_atomic_weight_of_a_large_number_of_chemical_elements""",1-Jan,175,Individual,Theodore_William_Richards,1868-01-31,"Germantown,_PA",United_States_of_America,Male,Harvard_University,"Cambridge,_MA",United_States_of_America,4/2/1928,"Cambridge,_MA",United_States_of_America
81,1914,Medicine,The_Nobel_Prize_in_Physiology_or_Medicine_1914,"""for_his_work_on_the_physiology_and_pathology_of_the_vestibular_apparatus""",1-Jan,308,Individual,Robert_Bárány,1876-04-22,Vienna,Austria,Male,Vienna_University,Vienna,Austria,4/8/1936,Uppsala,Sweden
82,1914,Physics,The_Nobel_Prize_in_Physics_1914,"""for_his_discovery_of_the_diffraction_of_X-rays_by_crystals""",1-Jan,19,Individual,Max_von_Laue,1879-10-09,Pfaffendorf,Germany,Male,Frankfurt-on-the-Main_University,Frankfurt-on-the-Main,Germany,4/23/1960,Berlin,West_Germany_(Germany)
83,1915,Chemistry,The_Nobel_Prize_in_Chemistry_1915,"""for_his_researches_on_plant_pigments,_especially_chlorophyll""",1-Jan,176,Individual,Richard_Martin_Willstätter,1872-08-13,Karlsruhe,Germany,Male,Munich_University,Munich,Germany,8/3/1942,Locarno,Switzerland
84,1915,Literature,The_Nobel_Prize_in_Literature_1915,"""as_a_tribute_to_the_lofty_idealism_of_his_literary_production_and_to_the_sympathy_and_love_of_truth_with_which_he_has_described_different_types_of_human_beings""",1-Jan,584,Individual,Romain_Rolland,1866-01-29,Clamecy,France,Male,,,,12/30/1944,Vézelay,France
